,currentDate,ExpDate,StrikePrice,Ticker,Type,Last,IV,Chg,StockPrice,T,ImpliedVolatility (caluclated),Difference
2,2/17/17,3/17/17,22.5,ARR,Call,0.08,0.13956,-0.01,21.709999,0.076659822,0.137428238,0.002131762
3,2/17/17,3/17/17,20,ARR,Put,0.2,0.32783,,21.709999,0.076659822,0.336279911,-0.008449911
43,2/17/17,3/17/17,180,MSG,Put,6.45,0.1838,-0.25,175.300003,0.076659822,0.187619195,-0.003819195
49,2/17/17,5/19/17,185,MSG,Call,3.1,0.1844,,175.300003,0.249144422,0.190170418,-0.005770418
53,2/17/17,5/19/17,170,MSG,Put,4.2,0.18729,,175.300003,0.249144422,0.191962588,-0.004672588
54,2/17/17,5/19/17,175,MSG,Put,6.4,0.18516,,175.300003,0.249144422,0.191022606,-0.005862606
64,2/17/17,8/18/17,170,MSG,Put,7.2,0.19569,,175.300003,0.498288843,0.201929847,-0.006239847
68,2/17/17,6/16/17,10,FLWS,Call,0.8,0.34132,-0.05,10,0.325804244,0.348590728,-0.007270728
69,2/17/17,9/15/17,10,FLWS,Call,1.05,0.34122,,10,0.574948665,0.34380568,-0.00258568
80,2/17/17,3/17/17,8,VNET,Call,0.23,0.56312,-0.02,7.39,0.076659822,0.557190233,0.005929767
87,2/17/17,6/16/17,7,VNET,Call,1,0.48476,,7.39,0.325804244,0.479895983,0.004864017
88,2/17/17,6/16/17,8,VNET,Call,0.55,0.45792,,7.39,0.325804244,0.466483526,-0.008563526
101,2/17/17,7/21/17,35,TWOU,Put,3.4,0.41765,,35.93,0.421629021,0.424272431,-0.006622431
136,2/17/17,3/17/17,120,ABMD,Call,1.75,0.25075,0.73,116.57,0.076659822,0.241794934,0.008955066
163,2/17/17,6/16/17,10,FLWS,Call,0.8,0.34132,-0.05,10,0.325804244,0.348590728,-0.007270728
164,2/17/17,9/15/17,10,FLWS,Call,1.05,0.34122,,10,0.574948665,0.34380568,-0.00258568
167,2/17/17,6/16/17,10,FLWS,Call,0.8,0.34132,-0.05,10,0.325804244,0.348590728,-0.007270728
168,2/17/17,9/15/17,10,FLWS,Call,1.05,0.34122,,10,0.574948665,0.34380568,-0.00258568
179,2/17/17,3/17/17,8,VNET,Call,0.23,0.56312,-0.02,7.39,0.076659822,0.557190233,0.005929767
186,2/17/17,6/16/17,7,VNET,Call,1,0.48476,,7.39,0.325804244,0.479895983,0.004864017
187,2/17/17,6/16/17,8,VNET,Call,0.55,0.45792,,7.39,0.325804244,0.466483526,-0.008563526
200,2/17/17,7/21/17,35,TWOU,Put,3.4,0.41765,,35.93,0.421629021,0.424272431,-0.006622431
260,2/17/17,6/16/17,2.5,AXAS,Call,0.25,0.62259,-0.1,2.31,0.325804244,0.615275309,0.007314691
265,2/17/17,3/17/17,65,ACIA,Call,5.8,0.69073,1.1,66.580002,0.076659822,0.683203103,0.007526897
295,2/17/17,3/17/17,45,ACHC,Call,1.1,0.43483,0.1,42.59,0.076659822,0.430676685,0.004153315
303,2/17/17,9/15/17,45,ACHC,Call,3.4,0.33542,,42.59,0.574948665,0.337212305,-0.001792305
315,2/17/17,2/24/17,40,ACAD,Call,1,0.60579,-0.05,39.279999,0.019164956,0.606572512,-0.000782512
339,2/17/17,8/18/17,25,AXDX,Put,7.09,0.93042,,23.15,0.498288843,0.925615621,0.004804379
351,2/17/17,6/16/17,6,ARAY,Call,0.4,0.46329,,5.55,0.325804244,0.453834031,0.009455969
369,2/17/17,9/15/17,22.5,AKAO,Put,5.2,0.79545,-0.87,22.68,0.574948665,0.791572361,0.003877639
411,2/17/17,7/21/17,26,ACOR,Call,5.7,0.92108,,25.299999,0.421629021,0.920096377,0.000983623
412,2/17/17,7/21/17,27,ACOR,Call,5.5,0.94027,,25.299999,0.421629021,0.944058773,-0.003788773
